KYTREASNOX,MCALDT,TMYTM
2000001,1953-04-30,2.0805926755003E+00
2000001,1953-05-29,1.9281092011574E+00
2000001,1953-06-30,1.6740313019933E+00
2000001,1953-07-31,1.9281898606043E+00
2000001,1953-08-31,1.7756621331589E+00
2000001,1953-09-30,1.3951022313632E+00
2000001,1953-10-30,9.3828815803221E-01
2000001,1953-11-30,1.1919277813824E+00
2000001,1953-12-31,1.2935537122245E+00
2000001,1954-01-29,9.3828815803221E-01
2000001,1954-02-26,8.5205481104066E-01
2000001,1954-03-31,9.8394951492415E-01
2000001,1954-04-30,6.5927967756034E-01
2000001,1954-05-28,6.0847174521396E-01
2000001,1954-06-30,5.9835069149828E-01
2000001,1954-07-30,6.5927967756034E-01
2000001,1954-08-31,1.0294860117917E+00
2000001,1954-09-30,8.8249486203376E-01
2000001,1954-10-29,7.0992887870669E-01
2000001,1954-11-30,8.6208860119969E-01
2000001,1954-12-31,9.6370500205796E-01
2000001,1955-01-31,1.1005771179231E+00
2000001,1955-02-28,1.0752156310586E+00
2000001,1955-03-31,1.3290032581271E+00
2000001,1955-04-29,1.5016076443995E+00
2000001,1955-05-31,1.0396172895887E+00
2000001,1955-06-30,1.3290032581271E+00
2000001,1955-07-29,1.7199634879546E+00
2000001,1955-08-31,2.0094697342957E+00
2000001,1955-09-30,2.1312073825854E+00
2000001,1955-10-31,2.0295704842005E+00
2000001,1955-11-30,2.1822484689723E+00
2000001,1955-12-30,2.4462184014164E+00
2000001,1956-01-31,2.2631142480699E+00
2000001,1956-02-29,1.9891620896508E+00
2000001,1956-03-29,2.1567297694789E+00
2000001,1956-04-30,2.6085813231240E+00
2000001,1956-05-31,2.4361418028091E+00
2000001,1956-06-29,2.2324113314873E+00
2000001,1956-07-31,2.0549141181013E+00
2000001,1956-08-31,2.4360396938243E+00
2000001,1956-09-28,2.7105058505240E+00
2000001,1956-10-31,2.4769475247598E+00
2000001,1956-11-30,2.6647664828875E+00
2000001,1956-12-31,3.0405341299806E+00
2000001,1957-01-31,3.0308444201472E+00
2000001,1957-02-28,2.8936062210592E+00
2000001,1957-03-29,2.8833590652259E+00
2000001,1957-04-30,3.0354935602662E+00
2000001,1957-05-31,3.1884461650635E+00
2000001,1957-06-27,3.0715408873272E+00
2000001,1957-07-31,3.0716417843989E+00
2000001,1957-08-30,3.0713555462925E+00
2000001,1957-09-30,3.0455747212741E+00
2000001,1957-10-31,3.3512714007845E+00
2000001,1957-11-29,2.6647664828875E+00
2000001,1957-12-31,2.6897725470190E+00
2000001,1958-01-31,1.4965227547506E+00
2000001,1958-02-28,1.1006149550612E+00
2000001,1958-03-31,9.8899419691821E-01
2000001,1958-04-30,1.1767684068809E+00
2000001,1958-05-29,3.5491860267467E-01
2000001,1958-06-30,6.8460931671467E-01
2000001,1958-07-31,7.4044108454112E-01
2000001,1958-08-29,1.9027555486486E+00
2000001,1958-09-30,1.7349194595055E+00
2000001,1958-10-31,1.5218668149201E+00
2000001,1958-11-28,2.2380613192056E+00
2000001,1958-12-31,2.4871011005575E+00
2000001,1959-01-30,2.4208525098615E+00
2000001,1959-02-27,2.3090560554557E+00
2000001,1959-03-31,2.3595599615177E+00
2000001,1959-04-30,2.7105942811038E+00
2000001,1959-05-29,2.7003246367845E+00
2000001,1959-06-30,2.6643735555271E+00
2000001,1959-07-31,2.3090560554557E+00
2000001,1959-08-31,3.4268747799742E+00
2000001,1959-09-30,3.5802824517851E+00
2000001,1959-10-30,3.0205948128633E+00
2000001,1959-11-30,2.9692952937181E+00
2000001,1959-12-31,4.0634263832702E+00
2000001,1960-01-29,3.4273240755519E+00
2000001,1960-02-29,3.8082097678365E+00
2000001,1960-03-31,2.5378279414877E+00
2000001,1960-04-29,2.8935420149962E+00
2000001,1960-05-31,2.3341678624980E+00
2000001,1960-06-30,1.7250132622853E+00
2000001,1960-07-29,1.7503988919709E+00
2000001,1960-08-31,2.0044308810747E+00
2000001,1960-09-30,2.4462184014164E+00
2000001,1960-10-31,1.5218085251878E+00
2000001,1960-11-30,1.8774823930380E+00
2000001,1960-12-30,2.0804910825856E+00
2000001,1961-01-31,2.0041431640500E+00
2000001,1961-02-28,2.4459677710148E+00
2000001,1961-03-30,2.1059484482928E+00
2000001,1961-04-28,1.9027555486486E+00
2000001,1961-05-31,2.3041185668378E+00
2000001,1961-06-30,2.0906455046386E+00
2000001,1961-07-31,1.5979942315136E+00
2000001,1961-08-31,2.0602687941931E+00
2000001,1961-09-29,2.0601353199864E+00
2000001,1961-10-31,1.9533032427071E+00
2000001,1961-11-30,2.3243324695357E+00
2000001,1961-12-29,2.5173967334762E+00
2000001,1962-01-31,2.5277367490019E+00
2000001,1962-02-28,2.4769068700061E+00
2000001,1962-03-30,2.6800432149302E+00
2000001,1962-04-30,2.7000136616655E+00
2000001,1962-05-31,2.5225913760521E+00
2000001,1962-06-29,2.9239730335448E+00
2000001,1962-07-31,2.6491136867190E+00
2000001,1962-08-31,2.6800001664190E+00
2000001,1962-09-28,2.7155534436660E+00
2000001,1962-10-31,2.4819887268604E+00
2000001,1962-11-30,2.7003623049451E+00
2000001,1962-12-31,2.9541214472259E+00
2000001,1963-01-31,2.9291468024282E+00
2000001,1963-02-28,2.8427419496273E+00
2000001,1963-03-29,2.8528107954429E+00
2000001,1963-04-30,2.8575469466582E+00
2000001,1963-05-31,2.9597052458423E+00
2000001,1963-06-28,2.9849937538009E+00
2000001,1963-07-31,3.0563925060793E+00
2000001,1963-08-30,3.2646074174601E+00
2000001,1963-09-30,3.4319642597383E+00
2000001,1963-10-31,3.2851004770019E+00
2000001,1963-11-29,3.2798442312701E+00
2000001,1963-12-31,3.4826185052609E+00
2000001,1964-01-31,3.4476573146871E+00
2000001,1964-02-28,3.5341425019562E+00
2000001,1964-03-31,3.5283466800190E+00
2000001,1964-04-30,3.3562984702327E+00
2000001,1964-05-28,3.2647897225730E+00
2000001,1964-06-30,3.4114327206644E+00
2000001,1964-07-31,3.2590936805562E+00
2000001,1964-08-31,3.2639946376058E+00
2000001,1964-09-30,3.5234605628162E+00
2000001,1964-10-30,3.4268747799742E+00
2000001,1964-11-30,3.5743191908314E+00
2000001,1964-12-31,3.4268275459264E+00
2000001,1965-01-29,3.8843433384605E+00
2000001,1965-02-26,3.8493164242311E+00
2000001,1965-03-31,3.7876912515558E+00
2000001,1965-04-30,3.8590951355996E+00
2000001,1965-05-28,3.7323429467649E+00
2000001,1965-06-30,3.7828371407035E+00
2000001,1965-07-30,3.7677806639922E+00
2000001,1965-08-31,3.7826202497439E+00
2000001,1965-09-30,3.9862528701158E+00
2000001,1965-10-29,3.8491503359364E+00
2000001,1965-11-30,3.7978882397582E+00
2000001,1965-12-31,4.2660622841234E+00
2000001,1966-01-31,4.5306140153982E+00
2000001,1966-02-28,4.4593736102141E+00
2000001,1966-03-31,4.4184177071629E+00
2000001,1966-04-29,4.6022039071690E+00
2000001,1966-05-31,4.4591296328245E+00
2000001,1966-06-30,4.5204669437105E+00
2000001,1966-07-29,4.5464582803655E+00
2000001,1966-08-31,4.7237476118048E+00
2000001,1966-09-30,5.1567398819263E+00
2000001,1966-10-31,4.7746321830392E+00
2000001,1966-11-30,4.2660209248636E+00
2000001,1966-12-30,4.4698852308093E+00
2000001,1967-01-31,4.5456378392148E+00
2000001,1967-02-28,4.4846149658564E+00
2000001,1967-03-31,4.0623135965657E+00
2000001,1967-04-28,3.4526053317028E+00
2000001,1967-05-31,3.2487760431197E+00
2000001,1967-06-30,3.7065099359961E+00
2000001,1967-07-31,3.8082511110180E+00
2000001,1967-08-31,3.8589254999208E+00
2000001,1967-09-29,4.1543669342544E+00
2000001,1967-10-31,4.1487935918883E+00
2000001,1967-11-30,4.1897510131864E+00
2000001,1967-12-29,4.3429065747005E+00
2000001,1968-01-31,4.8070670601561E+00
2000001,1968-02-29,4.6731432214426E+00
2000001,1968-03-29,4.8516407843251E+00
2000001,1968-04-30,5.4877689741968E+00
2000001,1968-05-31,5.3855475178621E+00
2000001,1968-06-28,5.2848592472108E+00
2000001,1968-07-31,5.2586005409541E+00
2000001,1968-08-30,4.9378278277851E+00
2000001,1968-09-30,5.1618368446682E+00
2000001,1968-10-31,5.4110033804333E+00
2000001,1968-11-29,4.8363486357369E+00
2000001,1968-12-31,6.0985925519788E+00
2000001,1969-01-31,5.9986543865149E+00
2000001,1969-02-28,5.6405707419184E+00
2000001,1969-03-28,5.3612177419406E+00
2000001,1969-04-30,6.1245649949678E+00
2000001,1969-05-29,5.8448265292365E+00
2000001,1969-06-30,6.4813854286312E+00
2000001,1969-07-31,6.9147142549847E+00
2000001,1969-08-29,6.6603776490452E+00
2000001,1969-09-30,6.9446656427122E+00
